seq,dataset,scan,eic,version,io_method,io_workers,shared_buffers,selectivity_rows,selectivity_pages,timing_cold,numeric
21,uniform,indexscan,16,prefetch-simple,io_uring,3,32GB,37.275,99.977,11429.093,2967.696
22,uniform,bitmapscan,1,master,sync,3,32GB,0.006,0.115,49.697,2.307
23,uniform,indexscan,0,prefetch-complex,io_uring,3,32GB,37.281,99.975,27345.109,2974.162
24,uniform,bitmapscan,1,prefetch-complex,worker,3,32GB,57.287,100.0,5745.922,1335.628
25,uniform,indexscan,0,prefetch-simple,worker,12,32GB,0.013,0.234,98.146,3.519
26,uniform,indexscan,0,prefetch-simple,worker,12,32GB,0.315,5.512,1983.579,31.399
27,uniform,bitmapscan,0,prefetch-simple,worker,3,32GB,97.309,100.0,5437.554,1379.881
28,uniform,bitmapscan,1,prefetch-simple,sync,3,32GB,0.213,3.766,1758.644,27.06
29,uniform,indexscan,1,master,sync,3,32GB,1.602,25.193,9105.43,157.525
30,uniform,indexscan,0,prefetch-simple,worker,12,32GB,0.003,0.054,17.942,2.042
31,uniform,bitmapscan,0,master,worker,12,32GB,0.473,8.169,2693.939,61.534
32,uniform,bitmapscan,0,prefetch-complex,io_uring,3,32GB,18.195,97.307,5076.437,1120.463
33,uniform,indexscan,64,master,io_uring,3,32GB,0.009,0.155,53.609,3.405
34,uniform,indexscan,0,prefetch-simple,sync,3,32GB,0.002,0.035,13.26,1.32
35,uniform,indexscan,64,prefetch-complex,sync,3,32GB,27.316,99.657,10072.394,2245.389
36,uniform,indexscan,1,prefetch-simple,io_uring,3,32GB,18.193,97.303,39936.898,1449.711
37,uniform,indexscan,64,prefetch-complex,worker,3,32GB,12.132,90.16,8082.426,1011.571
38,uniform,indexscan,0,master,worker,3,32GB,77.292,100.0,31067.07,7025.438
39,uniform,bitmapscan,1,master,worker,3,32GB,0.319,5.595,2590.525,43.388
40,uniform,bitmapscan,0,prefetch-simple,worker,3,32GB,0.314,5.511,1836.686,45.286
41,uniform,indexscan,64,prefetch-complex,io_uring,3,32GB,57.274,100.0,12466.828,4472.809
42,uniform,indexscan,64,prefetch-simple,io_uring,3,32GB,1.603,25.235,2911.611,141.866
43,uniform,indexscan,64,master,io_uring,3,32GB,27.285,99.682,26573.082,2491.3
44,uniform,bitmapscan,1,prefetch-simple,io_uring,3,32GB,67.303,100.0,5710.179,1283.925
45,uniform,indexscan,1,prefetch-complex,worker,12,32GB,47.27,99.998,42406.393,3766.771
46,uniform,indexscan,64,master,io_uring,3,32GB,2.405,35.506,12653.03,238.416
47,uniform,bitmapscan,0,prefetch-complex,io_uring,3,32GB,67.305,100.0,5649.354,1393.012
48,uniform,bitmapscan,0,prefetch-complex,io_uring,3,32GB,0.013,0.227,79.928,3.915
49,uniform,indexscan,16,prefetch-simple,worker,12,32GB,0.001,0.019,3.806,1.113
50,uniform,bitmapscan,0,prefetch-complex,sync,3,32GB,12.132,90.252,4847.713,995.576
