seq,dataset,scan,eic,version,io_method,io_workers,shared_buffers,selectivity_rows,selectivity_pages,timing_cold,numeric
2468,uniform,bitmapscan,64,prefetch-simple,sync,3,32GB,97.31,100.0,3087.993,1338.8
2469,uniform,bitmapscan,1,prefetch-simple,worker,12,32GB,0.013,0.228,110.615,3.592
2470,uniform,bitmapscan,16,prefetch-simple,sync,3,32GB,0.096,1.723,176.492,13.16
2471,uniform,bitmapscan,16,prefetch-simple,worker,3,32GB,47.296,99.999,2771.284,1209.526
2472,uniform,bitmapscan,16,master,worker,12,32GB,57.273,100.0,2875.297,1246.086
2473,uniform,bitmapscan,1,master,worker,3,32GB,0.71,12.054,5244.034,115.282
2474,uniform,indexscan,64,prefetch-complex,sync,3,32GB,0.006,0.113,13.23,2.236
2475,uniform,bitmapscan,64,prefetch-simple,worker,3,32GB,0.142,2.53,264.549,19.072
2476,uniform,bitmapscan,16,prefetch-simple,io_uring,3,32GB,0.004,0.064,8.104,1.683
2477,uniform,bitmapscan,64,master,worker,3,32GB,0.006,0.111,13.337,2.175
2478,uniform,bitmapscan,0,prefetch-simple,sync,3,32GB,0.004,0.077,26.199,1.923
2479,uniform,indexscan,64,prefetch-simple,sync,3,32GB,0.004,0.065,8.226,1.661
2480,uniform,indexscan,0,prefetch-simple,sync,3,32GB,0.095,1.691,567.045,11.296
2481,uniform,bitmapscan,0,prefetch-complex,worker,12,32GB,1.6,25.193,7226.228,277.705
2482,uniform,bitmapscan,64,master,sync,3,32GB,87.312,100.0,3028.853,1323.647
2483,uniform,bitmapscan,0,prefetch-simple,io_uring,3,32GB,0.003,0.05,24.383,1.68
2484,uniform,indexscan,0,prefetch-complex,worker,3,32GB,3.586,48.146,16800.902,334.495
2485,uniform,indexscan,64,prefetch-simple,worker,3,32GB,0.019,0.348,37.881,3.906
2486,uniform,indexscan,1,prefetch-simple,worker,12,32GB,87.306,100.0,44260.028,6746.704
2487,uniform,bitmapscan,16,master,worker,12,32GB,8.094,78.164,2938.632,823.778
2488,uniform,bitmapscan,16,master,worker,3,32GB,0.027,0.487,71.907,5.95
2489,uniform,indexscan,1,master,sync,3,32GB,0.093,1.655,682.374,10.87
2490,uniform,bitmapscan,1,prefetch-simple,worker,12,32GB,8.092,78.118,8059.477,833.933
2491,uniform,indexscan,0,prefetch-complex,io_uring,3,32GB,0.063,1.125,478.366,8.712
2492,uniform,indexscan,1,prefetch-simple,worker,3,32GB,0.004,0.068,29.737,1.724
2493,uniform,bitmapscan,16,prefetch-complex,worker,3,32GB,0.041,0.726,85.748,7.205
2494,uniform,indexscan,0,prefetch-simple,io_uring,3,32GB,0.009,0.168,58.772,2.761
2495,uniform,indexscan,64,prefetch-complex,sync,3,32GB,12.158,90.367,8390.374,995.522
2496,uniform,indexscan,64,master,io_uring,3,32GB,67.301,100.0,32187.28,6066.323
2497,uniform,indexscan,0,master,sync,3,32GB,0.02,0.353,126.775,4.736
2498,uniform,indexscan,0,prefetch-simple,worker,12,32GB,37.286,99.978,26659.336,2951.594
2499,uniform,bitmapscan,0,prefetch-complex,worker,3,32GB,0.001,0.019,11.576,1.506
2500,uniform,bitmapscan,0,prefetch-complex,worker,3,32GB,67.278,100.0,5368.02,1388.966
2501,uniform,indexscan,1,prefetch-complex,sync,3,32GB,47.275,99.999,41129.32,3762.35
2502,uniform,indexscan,0,master,io_uring,3,32GB,0.014,0.243,85.358,3.519
2503,uniform,bitmapscan,0,master,worker,3,32GB,0.002,0.035,13.359,1.42
2504,uniform,bitmapscan,64,prefetch-simple,worker,12,32GB,0.041,0.727,78.854,7.556
2505,uniform,indexscan,16,prefetch-simple,worker,12,32GB,0.041,0.732,81.502,6.511
2506,uniform,bitmapscan,1,master,sync,3,32GB,1.067,17.577,7533.329,152.17
2507,uniform,bitmapscan,0,master,io_uring,3,32GB,47.275,99.999,5217.743,1261.78
2508,uniform,indexscan,0,master,sync,3,32GB,97.303,100.0,33052.103,8903.459
2509,uniform,bitmapscan,16,master,sync,3,32GB,0.095,1.7,179.465,13.105
2510,uniform,bitmapscan,64,master,io_uring,3,32GB,18.194,97.315,2643.82,1062.83
2511,uniform,bitmapscan,16,prefetch-complex,sync,3,32GB,0.063,1.138,170.69,9.705
2512,uniform,indexscan,16,prefetch-simple,worker,12,32GB,8.088,78.068,7598.536,678.282
2513,uniform,bitmapscan,16,master,worker,12,32GB,0.004,0.079,10.071,1.9
2514,uniform,bitmapscan,64,prefetch-complex,worker,3,32GB,5.397,63.182,3427.731,658.959
2515,uniform,bitmapscan,1,prefetch-complex,worker,12,32GB,0.476,8.242,3930.751,59.096
2516,uniform,indexscan,16,prefetch-complex,worker,12,32GB,57.292,100.0,12820.149,4614.14
2517,uniform,indexscan,1,master,io_uring,3,32GB,0.095,1.697,621.955,12.994
2518,uniform,bitmapscan,0,prefetch-simple,io_uring,3,32GB,0.313,5.483,1926.904,44.335
2519,uniform,indexscan,16,prefetch-simple,worker,12,32GB,0.002,0.035,5.624,1.322
2520,uniform,bitmapscan,64,prefetch-simple,io_uring,3,32GB,37.276,99.977,2767.224,1195.175
2521,uniform,bitmapscan,64,prefetch-complex,io_uring,3,32GB,0.001,0.017,3.485,1.294
2522,uniform,bitmapscan,16,prefetch-complex,worker,3,32GB,0.006,0.109,12.871,2.405
2523,uniform,bitmapscan,1,prefetch-complex,worker,12,32GB,0.004,0.071,391.178,2.239
2524,uniform,bitmapscan,64,prefetch-simple,sync,3,32GB,0.14,2.486,284.963,18.093
2525,uniform,bitmapscan,0,master,worker,12,32GB,0.314,5.493,1929.083,41.872
2526,uniform,indexscan,1,prefetch-simple,io_uring,3,32GB,47.285,99.999,41414.148,3719.478
2527,uniform,indexscan,0,master,io_uring,3,32GB,0.004,0.07,25.547,1.768
2528,uniform,bitmapscan,16,prefetch-simple,sync,3,32GB,3.598,48.295,3391.505,511.296
2529,uniform,indexscan,16,prefetch-simple,worker,12,32GB,0.003,0.054,8.293,1.535
2530,uniform,bitmapscan,64,prefetch-simple,worker,12,32GB,0.095,1.7,185.011,14.002
2531,uniform,indexscan,1,master,io_uring,3,32GB,1.07,17.602,6363.541,105.274
2532,uniform,bitmapscan,0,master,io_uring,3,32GB,0.316,5.535,2060.03,44.224
2533,uniform,indexscan,64,prefetch-complex,io_uring,3,32GB,0.004,0.073,10.124,2.049
2534,uniform,indexscan,1,master,io_uring,3,32GB,67.281,100.0,30029.628,6027.963
2535,uniform,indexscan,16,master,sync,3,32GB,47.267,99.998,28101.629,4298.15
2536,uniform,indexscan,16,prefetch-simple,io_uring,3,32GB,0.006,0.103,12.274,2.065
2537,uniform,indexscan,0,prefetch-complex,worker,3,32GB,0.14,2.494,874.866,16.052
2538,uniform,indexscan,1,prefetch-complex,sync,3,32GB,3.588,48.163,23468.641,305.21
2539,uniform,bitmapscan,64,master,worker,3,32GB,5.394,63.171,3637.962,652.957
2540,uniform,bitmapscan,16,prefetch-simple,sync,3,32GB,0.001,0.016,3.431,1.272
2541,uniform,indexscan,0,master,sync,3,32GB,87.311,100.0,31689.863,8004.705
2542,uniform,bitmapscan,16,prefetch-simple,io_uring,3,32GB,0.014,0.249,30.635,3.501
2543,uniform,bitmapscan,0,prefetch-complex,worker,3,32GB,0.013,0.242,104.773,4.133
2544,uniform,bitmapscan,64,master,worker,3,32GB,0.002,0.039,7.683,1.372
2545,uniform,bitmapscan,64,prefetch-simple,io_uring,3,32GB,57.275,100.0,2848.28,1243.756
2546,uniform,indexscan,64,master,io_uring,3,32GB,0.092,1.647,553.852,12.492
2547,uniform,indexscan,16,prefetch-simple,sync,3,32GB,12.122,90.234,8271.125,978.372
2548,uniform,indexscan,16,prefetch-complex,worker,12,32GB,5.391,63.144,6789.678,465.751
2549,uniform,bitmapscan,0,prefetch-complex,io_uring,3,32GB,1.062,17.507,5383.799,174.909
2550,uniform,bitmapscan,64,prefetch-simple,worker,12,32GB,0.317,5.57,1236.717,39.92
2551,uniform,bitmapscan,1,prefetch-simple,worker,12,32GB,1.601,25.168,9716.606,256.726
2552,uniform,indexscan,0,prefetch-complex,io_uring,3,32GB,57.282,100.0,28368.45,4510.138
2553,uniform,bitmapscan,64,prefetch-complex,worker,12,32GB,0.712,12.081,1277.372,117.688
2554,uniform,indexscan,64,prefetch-simple,sync,3,32GB,47.281,99.999,11497.856,3718.632
2555,uniform,bitmapscan,64,prefetch-complex,sync,3,32GB,5.4,63.119,3368.792,670.563
2556,uniform,indexscan,1,master,worker,3,32GB,0.028,0.494,184.673,5.185
2557,uniform,indexscan,0,prefetch-simple,worker,12,32GB,97.311,100.0,32811.508,7561.153
2558,uniform,indexscan,1,master,io_uring,3,32GB,3.602,48.308,16625.177,350.607
2559,uniform,indexscan,1,prefetch-complex,worker,3,32GB,0.477,8.241,3971.718,44.689
2560,uniform,indexscan,1,prefetch-complex,io_uring,3,32GB,0.006,0.11,62.058,2.392
2561,uniform,indexscan,1,prefetch-simple,io_uring,3,32GB,67.299,100.0,42456.393,5331.024
2562,uniform,indexscan,16,prefetch-simple,worker,12,32GB,0.019,0.343,48.994,4.679
2563,uniform,bitmapscan,0,prefetch-simple,io_uring,3,32GB,97.312,100.0,5356.673,1349.281
2564,uniform,bitmapscan,16,prefetch-complex,worker,12,32GB,0.029,0.512,74.02,6.732
2565,uniform,indexscan,64,prefetch-simple,worker,3,32GB,0.477,8.258,992.768,42.968
2566,uniform,indexscan,0,prefetch-complex,worker,12,32GB,2.396,35.375,12595.255,223.773
2567,uniform,indexscan,64,prefetch-complex,io_uring,3,32GB,0.019,0.345,37.521,4.01
2568,uniform,indexscan,16,prefetch-complex,worker,12,32GB,0.095,1.691,178.125,10.419
2569,uniform,indexscan,1,prefetch-complex,worker,12,32GB,0.21,3.7,1848.154,20.338
2570,uniform,bitmapscan,1,master,worker,3,32GB,0.094,1.675,806.294,13.257
2571,uniform,indexscan,16,master,sync,3,32GB,87.302,100.0,31796.724,7914.787
2572,uniform,indexscan,0,master,worker,3,32GB,0.062,1.117,356.166,8.538
2573,uniform,bitmapscan,1,master,sync,3,32GB,57.304,100.0,5404.183,1234.844
2574,uniform,bitmapscan,64,master,sync,3,32GB,8.085,78.005,2553.328,823.57
2575,uniform,indexscan,64,master,io_uring,3,32GB,0.064,1.147,403.596,8.776
2576,uniform,bitmapscan,64,prefetch-simple,io_uring,3,32GB,0.027,0.478,51.623,5.373
2577,uniform,bitmapscan,0,prefetch-simple,worker,12,32GB,0.002,0.035,12.312,1.388
2578,uniform,bitmapscan,1,prefetch-complex,worker,3,32GB,3.602,48.306,13369.816,511.334
2579,uniform,bitmapscan,0,prefetch-simple,worker,3,32GB,27.286,99.677,5098.088,1183.321
2580,uniform,indexscan,16,master,sync,3,32GB,8.092,78.099,23219.104,755.767
2581,uniform,bitmapscan,64,prefetch-simple,sync,3,32GB,0.002,0.035,5.314,1.341
2582,uniform,indexscan,0,prefetch-simple,sync,3,32GB,97.311,100.0,31802.645,7539.656
2583,uniform,bitmapscan,0,master,worker,3,32GB,0.019,0.342,150.432,5.668
2584,uniform,bitmapscan,64,master,worker,3,32GB,67.3,100.0,2888.191,1262.702
2585,uniform,bitmapscan,64,master,worker,12,32GB,2.408,35.484,2876.157,366.25
2586,uniform,indexscan,64,prefetch-complex,io_uring,3,32GB,1.068,17.562,2015.418,94.455
2587,uniform,bitmapscan,0,prefetch-simple,sync,3,32GB,5.413,63.323,10225.927,679.729
2588,uniform,bitmapscan,64,prefetch-complex,worker,12,32GB,12.131,90.227,2620.262,980.384
2589,uniform,bitmapscan,64,prefetch-complex,worker,12,32GB,47.27,99.998,2909.932,1291.203
2590,uniform,indexscan,16,prefetch-simple,worker,12,32GB,37.277,99.976,11225.44,2897.839
2591,uniform,indexscan,0,prefetch-simple,sync,3,32GB,0.063,1.122,461.046,10.165
2592,uniform,bitmapscan,0,master,sync,3,32GB,0.029,0.511,171.557,6.028
2593,uniform,bitmapscan,0,master,worker,12,32GB,1.598,25.189,6941.017,269.803
2594,uniform,bitmapscan,16,master,sync,3,32GB,97.311,100.0,3061.488,1315.601
2595,uniform,bitmapscan,16,master,sync,3,32GB,0.013,0.232,50.908,3.502
2596,uniform,bitmapscan,64,master,io_uring,3,32GB,0.71,12.053,1222.9,117.36
2597,uniform,bitmapscan,0,prefetch-simple,io_uring,3,32GB,0.706,11.984,3706.296,125.355
2598,uniform,indexscan,64,prefetch-simple,io_uring,3,32GB,0.092,1.65,232.272,11.361
2599,uniform,bitmapscan,64,master,io_uring,3,32GB,37.288,99.978,2760.396,1180.605
2600,uniform,indexscan,64,prefetch-complex,worker,3,32GB,67.304,100.0,12972.047,5318.376
2601,uniform,bitmapscan,64,master,worker,12,32GB,0.094,1.68,182.987,14.052
2602,uniform,indexscan,16,prefetch-complex,io_uring,3,32GB,0.003,0.046,6.527,1.569
2603,uniform,bitmapscan,64,prefetch-complex,io_uring,3,32GB,67.288,100.0,2927.485,1331.839
2604,uniform,bitmapscan,0,master,worker,3,32GB,0.142,2.523,1502.701,20.736
2605,uniform,bitmapscan,1,prefetch-simple,worker,3,32GB,97.301,100.0,5555.674,1353.569
2606,uniform,bitmapscan,16,prefetch-simple,sync,3,32GB,0.019,0.342,68.614,4.449
2607,uniform,indexscan,16,master,sync,3,32GB,0.029,0.523,184.811,5.938
2608,uniform,bitmapscan,16,prefetch-complex,worker,12,32GB,47.291,99.999,2834.773,1273.2
2609,uniform,indexscan,16,master,worker,12,32GB,47.287,99.999,27917.116,4357.624
2610,uniform,bitmapscan,16,prefetch-complex,io_uring,3,32GB,0.14,2.486,269.363,19.696
2611,uniform,bitmapscan,0,master,worker,3,32GB,67.291,100.0,5224.47,1299.934
2612,uniform,indexscan,1,prefetch-simple,io_uring,3,32GB,3.608,48.343,23369.635,310.268
2613,uniform,indexscan,0,prefetch-simple,worker,3,32GB,3.586,48.198,17031.571,333.43
2614,uniform,indexscan,1,prefetch-simple,worker,3,32GB,0.003,0.058,25.519,1.646
2615,uniform,indexscan,64,prefetch-simple,worker,3,32GB,0.006,0.107,13.222,2.021
2616,uniform,bitmapscan,0,prefetch-complex,io_uring,3,32GB,0.142,2.528,850.136,20.826
2617,uniform,indexscan,64,master,worker,3,32GB,5.416,63.369,20822.982,503.964
2618,uniform,indexscan,1,prefetch-simple,io_uring,3,32GB,2.395,35.333,17319.945,209.476
2619,uniform,bitmapscan,64,master,worker,3,32GB,1.597,25.185,2301.545,255.677
2620,uniform,indexscan,16,prefetch-simple,worker,12,32GB,3.599,48.258,5372.507,309.077
2621,uniform,indexscan,64,prefetch-simple,worker,3,32GB,12.127,90.216,8178.415,997.113
2622,uniform,bitmapscan,16,prefetch-simple,worker,3,32GB,0.028,0.502,115.778,5.757
2623,uniform,bitmapscan,1,prefetch-complex,worker,12,32GB,67.302,100.0,5666.083,1346.475
2624,uniform,bitmapscan,16,prefetch-complex,sync,3,32GB,0.008,0.153,18.898,2.918
2625,uniform,indexscan,0,master,worker,12,32GB,27.306,99.659,26623.832,2476.792
2626,uniform,indexscan,16,prefetch-simple,io_uring,3,32GB,0.001,0.019,3.564,1.096
2627,uniform,indexscan,0,prefetch-simple,sync,3,32GB,2.396,35.359,12633.501,221.306
2628,uniform,bitmapscan,1,prefetch-complex,sync,3,32GB,87.292,100.0,5738.562,1411.191
2629,uniform,bitmapscan,64,prefetch-simple,io_uring,3,32GB,1.595,25.147,2404.121,265.5
2630,uniform,bitmapscan,1,prefetch-simple,io_uring,3,32GB,0.318,5.561,2660.604,40.56
2631,uniform,bitmapscan,0,master,sync,3,32GB,0.093,1.664,604.657,14.292
2632,uniform,bitmapscan,0,prefetch-simple,sync,3,32GB,3.601,48.293,11183.785,531.341
2633,uniform,indexscan,0,master,io_uring,3,32GB,5.385,63.106,20727.648,512.033
2634,uniform,bitmapscan,1,prefetch-simple,worker,3,32GB,0.713,12.075,5183.398,115.987
2635,uniform,indexscan,64,prefetch-complex,worker,3,32GB,77.292,100.0,14181.836,6064.501
2636,uniform,indexscan,64,prefetch-complex,io_uring,3,32GB,8.089,78.1,7535.555,690.02
2637,uniform,indexscan,0,master,io_uring,3,32GB,0.71,12.047,4149.845,73.541
2638,uniform,indexscan,16,master,worker,3,32GB,2.4,35.411,12291.623,230.319
2639,uniform,bitmapscan,16,master,sync,3,32GB,0.213,3.759,458.6,26.038
2640,uniform,indexscan,0,master,io_uring,3,32GB,97.313,100.0,33406.712,8847.023
2641,uniform,bitmapscan,0,master,worker,3,32GB,0.001,0.016,19.299,1.27
2642,uniform,bitmapscan,64,prefetch-complex,sync,3,32GB,0.063,1.13,142.74,9.404
2643,uniform,bitmapscan,64,prefetch-complex,sync,3,32GB,0.006,0.101,11.828,2.279
2644,uniform,indexscan,64,master,sync,3,32GB,0.006,0.115,57.432,2.205
2645,uniform,indexscan,0,prefetch-complex,sync,3,32GB,0.02,0.351,147.531,4.319
2646,uniform,bitmapscan,0,prefetch-complex,io_uring,3,32GB,97.301,100.0,5481.86,1481.809
2647,uniform,indexscan,16,prefetch-complex,worker,12,32GB,0.063,1.129,147.093,8.52
2648,uniform,bitmapscan,16,prefetch-simple,worker,12,32GB,67.304,100.0,2872.638,1249.316
2649,uniform,indexscan,16,master,worker,3,32GB,47.27,99.999,27904.659,4272.611
2650,uniform,indexscan,64,prefetch-complex,sync,3,32GB,97.313,100.0,15820.577,7532.066
2651,uniform,bitmapscan,64,master,sync,3,32GB,0.094,1.685,198.491,13.454
2652,uniform,indexscan,0,prefetch-complex,worker,3,32GB,0.093,1.672,580.414,11.479
2653,uniform,indexscan,64,prefetch-complex,sync,3,32GB,77.296,100.0,13922.594,6084.788
2654,uniform,indexscan,16,prefetch-complex,worker,12,32GB,0.316,5.535,667.55,29.584
2655,uniform,indexscan,1,master,worker,12,32GB,8.094,78.129,24867.367,750.22
2656,uniform,indexscan,16,prefetch-simple,worker,3,32GB,3.584,48.122,5330.935,316.71
2657,uniform,bitmapscan,64,prefetch-simple,sync,3,32GB,0.316,5.539,668.528,39.679
2658,uniform,bitmapscan,16,prefetch-simple,io_uring,3,32GB,87.297,100.0,3008.488,1307.095
2659,uniform,bitmapscan,0,prefetch-complex,sync,3,32GB,27.28,99.666,5172.364,1207.251
2660,uniform,bitmapscan,16,master,worker,12,32GB,0.003,0.057,28.389,1.738
2661,uniform,bitmapscan,1,master,sync,3,32GB,77.291,100.0,5659.488,1282.216
2662,uniform,indexscan,64,master,worker,3,32GB,0.042,0.751,246.739,7.243
2663,uniform,indexscan,1,master,worker,12,32GB,0.006,0.104,34.011,2.101
2664,uniform,indexscan,16,prefetch-complex,worker,3,32GB,0.478,8.267,1015.636,46.768
2665,uniform,bitmapscan,64,prefetch-complex,worker,3,32GB,2.388,35.295,2814.631,363.424
2666,uniform,indexscan,0,master,sync,3,32GB,0.096,1.716,592.433,11.729
2667,uniform,bitmapscan,1,prefetch-complex,worker,3,32GB,12.133,90.202,5790.276,986.792
2668,uniform,bitmapscan,0,master,worker,12,32GB,87.303,100.0,5388.745,1331.96
2669,uniform,indexscan,16,prefetch-complex,sync,3,32GB,1.607,25.265,2852.837,141.823
2670,uniform,indexscan,1,prefetch-complex,io_uring,3,32GB,27.287,99.673,39208.8,2162.963
2671,uniform,bitmapscan,64,prefetch-complex,io_uring,3,32GB,2.401,35.412,2768.734,359.343
2672,uniform,bitmapscan,64,prefetch-simple,worker,12,32GB,0.028,0.51,76.945,5.463
2673,uniform,indexscan,1,prefetch-complex,io_uring,3,32GB,77.296,100.0,43568.756,6019.125
2674,uniform,bitmapscan,0,master,worker,12,32GB,2.385,35.246,8962.959,385.002
2675,uniform,indexscan,64,master,worker,3,32GB,0.001,0.017,6.4,1.097
2676,uniform,indexscan,0,master,io_uring,3,32GB,0.063,1.125,408.267,8.389
2677,uniform,indexscan,16,prefetch-complex,worker,3,32GB,0.001,0.017,3.619,1.281
2678,uniform,indexscan,0,prefetch-simple,sync,3,32GB,0.317,5.568,1922.129,32.107
2679,uniform,indexscan,16,master,sync,3,32GB,97.311,100.0,32831.539,8795.622
2680,uniform,bitmapscan,64,prefetch-complex,io_uring,3,32GB,97.31,100.0,3395.948,1445.252
2681,uniform,indexscan,1,master,worker,3,32GB,67.286,100.0,31022.038,6194.531
2682,uniform,bitmapscan,1,master,worker,3,32GB,1.066,17.567,7451.569,156.999
2683,uniform,bitmapscan,64,prefetch-simple,worker,12,32GB,27.299,99.665,2710.009,1134.236
2684,uniform,bitmapscan,16,prefetch-simple,io_uring,3,32GB,97.303,100.0,3120.433,1314.24
2685,uniform,bitmapscan,1,prefetch-simple,sync,3,32GB,67.288,100.0,5624.962,1289.077
2686,uniform,bitmapscan,16,prefetch-simple,sync,3,32GB,2.402,35.51,2795.93,381.744
2687,uniform,bitmapscan,1,prefetch-complex,sync,3,32GB,3.595,48.224,15656.892,525.951
2688,uniform,indexscan,16,prefetch-complex,worker,3,32GB,0.019,0.336,35.429,4.416
2689,uniform,indexscan,1,prefetch-simple,sync,3,32GB,0.002,0.032,14.848,1.255
2690,uniform,bitmapscan,64,prefetch-complex,io_uring,3,32GB,0.473,8.179,979.18,56.022
2691,uniform,indexscan,16,master,worker,12,32GB,0.028,0.502,197.826,5.21
2692,uniform,indexscan,0,prefetch-complex,io_uring,3,32GB,1.597,25.137,8917.031,155.379
2693,uniform,indexscan,64,prefetch-simple,sync,3,32GB,0.019,0.341,36.915,3.872
2694,uniform,indexscan,64,master,sync,3,32GB,0.318,5.573,1830.221,34.681
2695,uniform,indexscan,64,master,sync,3,32GB,0.009,0.154,50.454,2.536
2696,uniform,bitmapscan,0,prefetch-simple,worker,12,32GB,67.299,100.0,5215.041,1291.365
2697,uniform,bitmapscan,64,prefetch-complex,worker,12,32GB,0.142,2.524,267.114,19.959
2698,uniform,indexscan,16,prefetch-simple,sync,3,32GB,67.279,100.0,13575.884,5289.959
2699,uniform,bitmapscan,16,master,sync,3,32GB,0.042,0.753,87.901,7.165
2700,uniform,bitmapscan,1,prefetch-simple,sync,3,32GB,57.28,100.0,5395.346,1265.692
2701,uniform,indexscan,0,prefetch-simple,io_uring,3,32GB,0.143,2.541,836.778,16.419
2702,uniform,indexscan,64,prefetch-complex,sync,3,32GB,3.604,48.308,5295.688,313.491
2703,uniform,indexscan,0,prefetch-simple,sync,3,32GB,0.004,0.073,24.62,1.843
2704,uniform,indexscan,16,master,io_uring,3,32GB,2.397,35.382,12409.591,222.124
2705,uniform,indexscan,16,prefetch-simple,worker,3,32GB,0.003,0.052,7.079,1.487
2706,uniform,bitmapscan,0,prefetch-simple,worker,3,32GB,0.211,3.72,1205.447,28.643
2707,uniform,indexscan,16,master,worker,3,32GB,1.062,17.481,6180.137,105.15
2708,uniform,indexscan,1,prefetch-simple,sync,3,32GB,67.306,100.0,42759.034,5293.662
2709,uniform,bitmapscan,64,prefetch-simple,worker,3,32GB,0.062,1.106,116.496,9.806
2710,uniform,bitmapscan,0,master,sync,3,32GB,1.593,25.125,7751.768,274.315
2711,uniform,indexscan,1,prefetch-complex,sync,3,32GB,2.408,35.519,17185.484,207.25
2712,uniform,indexscan,0,master,sync,3,32GB,0.006,0.103,44.493,2.201
2713,uniform,bitmapscan,1,prefetch-complex,io_uring,3,32GB,57.305,100.0,5363.583,1313.642
2714,uniform,bitmapscan,0,prefetch-complex,sync,3,32GB,0.02,0.352,185.462,5.24
2715,uniform,indexscan,0,prefetch-complex,sync,3,32GB,77.299,100.0,30632.382,6137.877
2716,uniform,bitmapscan,16,master,worker,12,32GB,37.299,99.979,2764.224,1192.505
2717,uniform,indexscan,64,master,worker,12,32GB,0.013,0.234,88.956,3.527
2718,uniform,bitmapscan,1,prefetch-complex,io_uring,3,32GB,67.29,100.0,5491.248,1340.957
2719,uniform,indexscan,64,master,sync,3,32GB,12.123,90.181,24515.925,1137.082
2720,uniform,indexscan,1,prefetch-simple,io_uring,3,32GB,0.001,0.017,8.865,1.108
2721,uniform,indexscan,64,prefetch-simple,io_uring,3,32GB,0.322,5.647,599.237,30.431
2722,uniform,bitmapscan,16,master,io_uring,3,32GB,47.275,99.999,2798.453,1242.553
2723,uniform,indexscan,64,prefetch-complex,worker,3,32GB,0.711,12.069,1392.715,63.559
2724,uniform,indexscan,0,prefetch-complex,sync,3,32GB,0.139,2.474,818.557,15.808
2725,uniform,indexscan,64,prefetch-complex,worker,3,32GB,0.211,3.731,493.375,20.529
2726,uniform,indexscan,64,prefetch-simple,worker,3,32GB,1.061,17.47,1992.691,93.869
2727,uniform,bitmapscan,64,prefetch-simple,sync,3,32GB,18.197,97.284,2657.417,1063.287
2728,uniform,indexscan,16,prefetch-simple,worker,3,32GB,0.314,5.505,704.216,29.027
2729,uniform,indexscan,0,prefetch-complex,worker,12,32GB,0.142,2.514,842.821,16.224
2730,uniform,bitmapscan,1,master,io_uring,3,32GB,12.157,90.381,5662.306,958.52
2731,uniform,bitmapscan,64,prefetch-complex,sync,3,32GB,2.407,35.485,2859.354,351.662
2732,uniform,indexscan,16,prefetch-complex,worker,12,32GB,12.126,90.238,8087.657,1009.71
2733,uniform,indexscan,64,master,worker,12,32GB,3.599,48.316,16962.186,354.615
2734,uniform,bitmapscan,0,prefetch-complex,sync,3,32GB,0.211,3.721,1248.837,29.709
2735,uniform,bitmapscan,0,prefetch-simple,worker,3,32GB,0.009,0.159,58.737,2.991
2736,uniform,bitmapscan,0,prefetch-simple,io_uring,3,32GB,0.211,3.738,1316.095,28.016
2737,uniform,indexscan,16,master,io_uring,3,32GB,8.098,78.095,23349.181,748.035
2738,uniform,bitmapscan,0,prefetch-simple,io_uring,3,32GB,0.006,0.1,38.882,2.424
2739,uniform,bitmapscan,0,prefetch-simple,worker,12,32GB,0.028,0.498,165.354,5.862
2740,uniform,indexscan,16,prefetch-simple,worker,3,32GB,0.212,3.752,443.065,22.001
2741,uniform,indexscan,0,prefetch-simple,io_uring,3,32GB,0.006,0.113,47.384,2.4
2742,uniform,bitmapscan,0,prefetch-complex,worker,12,32GB,0.209,3.696,1276.844,27.818
2743,uniform,bitmapscan,0,prefetch-complex,worker,12,32GB,0.029,0.515,185.278,6.09
2744,uniform,bitmapscan,64,prefetch-simple,worker,12,32GB,87.301,100.0,2987.737,1308.281
2745,uniform,bitmapscan,64,prefetch-complex,worker,12,32GB,0.002,0.036,5.7,1.539
2746,uniform,indexscan,16,master,sync,3,32GB,0.315,5.521,1904.228,31.931
2747,uniform,indexscan,16,prefetch-simple,io_uring,3,32GB,0.04,0.726,109.613,6.211
2748,uniform,indexscan,16,prefetch-complex,io_uring,3,32GB,2.398,35.411,4024.021,210.657
2749,uniform,bitmapscan,1,master,io_uring,3,32GB,0.209,3.695,1792.291,26.431
2750,uniform,bitmapscan,1,prefetch-simple,sync,3,32GB,0.139,2.47,1097.953,17.739
2751,uniform,indexscan,0,master,worker,12,32GB,5.413,63.288,20783.658,505.858
2752,uniform,bitmapscan,64,prefetch-simple,sync,3,32GB,0.474,8.199,872.283,58.951
2753,uniform,bitmapscan,64,prefetch-simple,sync,3,32GB,3.584,48.118,3368.412,511.828
2754,uniform,bitmapscan,1,prefetch-simple,worker,3,32GB,0.013,0.232,105.416,3.689
2755,uniform,bitmapscan,0,prefetch-complex,io_uring,3,32GB,8.087,77.976,5731.649,862.23
2756,uniform,bitmapscan,1,prefetch-simple,io_uring,3,32GB,0.013,0.242,109.299,3.928
2757,uniform,indexscan,1,master,worker,3,32GB,1.597,25.144,8781.313,155.966
2758,uniform,bitmapscan,0,prefetch-complex,worker,3,32GB,77.293,100.0,5518.271,1452.506
2759,uniform,bitmapscan,0,prefetch-complex,sync,3,32GB,0.316,5.544,1859.59,44.841
2760,uniform,indexscan,1,prefetch-simple,worker,12,32GB,47.296,100.0,40753.367,3692.916
2761,uniform,bitmapscan,64,prefetch-complex,worker,12,32GB,0.001,0.015,3.329,1.295
